Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Danielle Colaprico,us USA,MF,32-172,25,25,"2,102",23.4,0,0,0,0,0,0,2,0,0.6,0.6,0.4,1.1,7,66,7,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05,Matches
Delanie Sheehan,us USA,"MF,FW",26-285,25,24,"1,986",22.1,1,2,3,1,0,0,2,0,1.7,1.7,3,4.7,30,75,77,0.05,0.09,0.14,0.05,0.14,0.08,0.13,0.21,0.08,0.21,Matches
Paige Nielsen,us USA,DF,32-011,25,23,"2,127",23.6,1,0,1,1,0,0,1,0,1.8,1.8,0.1,1.9,17,68,5,0.04,0,0.04,0.04,0.04,0.07,0,0.08,0.07,0.08,Matches
Yazmeen Ryan,us USA,"FW,MF",26-242,23,23,"2,070",23,4,3,7,4,0,1,1,0,5.2,4.5,3.7,8.2,69,82,129,0.17,0.13,0.3,0.17,0.3,0.23,0.16,0.39,0.2,0.36,Matches
Avery Patterson,us USA,"DF,MF",23-133,21,21,"1,825",20.3,3,2,5,3,0,0,2,0,1.9,1.9,2.3,4.2,64,63,74,0.15,0.1,0.25,0.15,0.25,0.09,0.11,0.21,0.09,0.21,Matches
Jane Campbell,us USA,GK,30-250,17,17,"1,452",16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
Maggie Graham,us USA,"MF,DF",23-107,20,16,"1,520",16.9,3,3,6,3,0,0,3,0,2.7,2.7,1.3,4,13,39,36,0.18,0.18,0.36,0.18,0.36,0.16,0.08,0.24,0.16,0.24,Matches
Natalie Jacobs,us USA,DF,28-070,16,15,"1,358",15.1,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,8,58,7,0,0,0,0,0,0.02,0.01,0.04,0.02,0.04,Matches
Katie Lind,us USA,DF,31-252,15,13,"1,172",13,0,0,0,0,0,0,0,0,0.7,0.7,0.6,1.4,0,17,0,0,0,0,0,0,0.06,0.05,0.11,0.06,0.11,Matches
Kiki Van Zanten,jm JAM,"FW,MF",24-061,17,13,"1,107",12.3,2,1,3,2,0,0,1,0,1.3,1.3,1.4,2.7,24,28,64,0.16,0.08,0.24,0.16,0.24,0.11,0.11,0.22,0.11,0.22,Matches
Messiah Bright,us USA,FW,25-286,25,11,"1,174",13,2,1,3,2,0,0,3,0,2.8,2.8,1,3.8,17,14,71,0.15,0.08,0.23,0.15,0.23,0.22,0.08,0.29,0.22,0.29,Matches
Ryan Gareis,us USA,"MF,DF",26-346,19,11,986,11,1,3,4,1,0,0,1,0,0.7,0.7,1.6,2.3,20,21,72,0.09,0.27,0.37,0.09,0.37,0.06,0.15,0.21,0.06,0.21,Matches
Bárbara Olivieri,ve VEN,"FW,MF",23-243,13,10,890,9.9,2,2,4,2,0,0,3,0,2.4,2.4,1.6,3.9,13,41,40,0.2,0.2,0.4,0.2,0.4,0.24,0.16,0.4,0.24,0.4,Matches
Abby Smith,us USA,GK,32-021,9,8,798,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Allysha Chapman,ca CAN,DF,36-273,11,8,657,7.3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,3,25,7,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
Christen Westphal,us USA,DF,32-053,8,7,529,5.9,0,0,0,0,0,0,2,0,0,0,0.1,0.1,6,28,7,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches
Sarah Puntigam,at AUT,MF,33-012,16,6,602,6.7,0,1,1,0,0,0,2,1,0.5,0.5,0.7,1.2,2,27,18,0,0.15,0.15,0,0.15,0.07,0.11,0.18,0.07,0.18,Matches
Evelina Duljan,se SWE,"FW,MF",22-166,14,5,455,5.1,1,0,1,1,0,0,0,0,0.3,0.3,0.7,1,15,15,35,0.2,0,0.2,0.2,0.2,0.06,0.13,0.19,0.06,0.19,Matches
Malia Berkely,us USA,DF,27-254,5,5,449,5,1,0,1,1,0,0,0,0,1,0.7,0.2,0.8,4,12,2,0.2,0,0.2,0.2,0.2,0.19,0.03,0.23,0.13,0.17,Matches
Clarissa Larisey,ca CAN,FW,26-115,9,5,340,3.8,1,1,2,1,0,0,1,0,0.8,0.8,0.6,1.4,2,5,10,0.26,0.26,0.53,0.26,0.53,0.21,0.15,0.36,0.21,0.36,Matches
