Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Emily Sonnett,us USA,DF,31-334,25,25,"2,249",25,0,0,0,0,0,0,5,0,1,1,0.3,1.3,13,72,7,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05,Matches
Jaelin Howell,us USA,MF,25-338,24,24,"2,155",23.9,4,1,5,4,0,0,7,1,3,3,0.6,3.6,32,98,51,0.17,0.04,0.21,0.17,0.21,0.12,0.02,0.15,0.12,0.15,Matches
Ann-Katrin Berger,de GER,GK,35-016,23,23,"2,067",23,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,7,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
Esther González,es ESP,"FW,MF",32-321,23,22,"1,911",21.2,13,1,14,11,2,2,2,0,9.4,7.9,2,9.9,29,62,116,0.61,0.05,0.66,0.52,0.57,0.44,0.09,0.54,0.37,0.47,Matches
Jess Carter,eng ENG,DF,27-363,22,22,"1,821",20.2,0,0,0,0,0,0,1,1,0.1,0.1,0.1,0.2,10,65,7,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,Matches
Lilly Reale,us USA,DF,22-074,25,21,"1,915",21.3,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4,38,99,57,0.05,0.05,0.09,0.05,0.09,0.06,0.06,0.11,0.06,0.11,Matches
Sarah Schupansky,us USA,MF,22-061,23,16,"1,286",14.3,1,5,6,1,0,0,3,0,1,1,4.4,5.4,9,39,63,0.07,0.35,0.42,0.07,0.42,0.07,0.31,0.38,0.07,0.38,Matches
Bruninha,br BRA,"DF,MF",23-131,22,15,"1,332",14.8,0,1,1,0,0,0,2,0,0,0,1.4,1.4,24,70,73,0,0.07,0.07,0,0.07,0,0.1,0.1,0,0.1,Matches
Mandy Freeman,us USA,DF,30-216,21,12,"1,209",13.4,0,1,1,0,0,0,0,1,0,0,0.7,0.7,11,59,19,0,0.07,0.07,0,0.07,0,0.05,0.05,0,0.05,Matches
Nealy Martin,us USA,"MF,DF",27-186,16,12,"1,060",11.8,0,1,1,0,0,0,2,0,0.2,0.2,0.4,0.6,3,30,11,0,0.08,0.08,0,0.08,0.02,0.04,0.05,0.02,0.05,Matches
Rose Lavelle,us USA,MF,30-164,15,12,948,10.5,4,2,6,4,0,0,1,0,3.1,3.1,2.3,5.3,25,67,51,0.38,0.19,0.57,0.38,0.57,0.29,0.21,0.5,0.29,0.5,Matches
Geyse,br BRA,"FW,MF",27-212,17,12,899,10,2,2,4,2,0,0,3,1,2,2,1,3,29,20,53,0.2,0.2,0.4,0.2,0.4,0.2,0.1,0.3,0.2,0.3,Matches
Gabi Portilho,br BRA,"MF,FW",30-099,16,11,959,10.7,2,3,5,2,0,0,3,0,1.7,1.7,2.3,4,28,27,92,0.19,0.28,0.47,0.19,0.47,0.16,0.21,0.38,0.16,0.38,Matches
Margaret Purce,us USA,"FW,MF",30-037,19,10,984,10.9,1,1,2,1,0,0,1,0,1.5,1.5,1.9,3.4,43,27,83,0.09,0.09,0.18,0.09,0.18,0.14,0.17,0.31,0.14,0.31,Matches
Taryn Torres,us USA,MF,26-185,15,8,762,8.5,0,0,0,0,0,0,3,0,0.4,0.4,0.4,0.8,6,26,7,0,0,0,0,0,0.04,0.05,0.1,0.04,0.1,Matches
Ella Stevens,us USA,MF,27-318,10,7,645,7.2,0,1,1,0,0,0,2,0,0.9,0.9,1.7,2.6,14,14,40,0,0.14,0.14,0,0.14,0.13,0.24,0.37,0.13,0.37,Matches
Josefine Hasbo,dk DEN,MF,23-339,8,6,535,5.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,23,9,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
Jaedyn Shaw,us USA,"FW,MF",20-339,6,5,456,5.1,1,1,2,1,0,0,0,0,0.9,0.9,1.2,2,3,12,39,0.2,0.2,0.39,0.2,0.39,0.17,0.23,0.4,0.17,0.4,Matches
Katie Stengel,us USA,FW,33-238,12,4,462,5.1,1,0,1,1,0,0,0,0,2.7,2.7,0.3,3,14,17,31,0.19,0,0.19,0.19,0.19,0.53,0.06,0.58,0.53,0.58,Matches
Tierna Davidson,us USA,DF,27-037,3,3,223,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,3,12,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
